patient_id,type_id,trial_id,n_frames,n_partialout_head,n_partialout_foot,n_partialout_left,n_partialout_right,n_totalout,time_partialout_head,time_partialout_foot,time_partialout_left,time_partialout_right,time_totalout,csvpath
01,02,00,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\01_02_00__2023-10-19-11-00-48_2d.csv
03,00,00,498,32,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_00_00__2023-10-20-17-09-06_2d.csv
03,01,01,295,31,0,0,6,0,0.0,0,0.0,1.0364999771118164,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_01_01__2023-10-20-17-17-02_2d.csv
03,02,00,227,21,0,0,9,1,0.0,0,0.0,1.739396095275879,6.102059364318848,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_02_00__2023-10-20-17-19-53_2d.csv
03,03,00,447,18,0,23,0,0,2.764162063598633,0,3.5122203826904297,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_03_00__2023-10-20-17-24-31_2d.csv
03,04,00,230,7,0,1,0,2,0.0,0,0.0,0.0,12.744598865509033,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_04_00__2023-10-20-17-27-43_2d.csv
03,05,00,386,76,0,9,13,1,0.0,0,2.374457359313965,12.17599606513977,9.471219539642334,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_05_00__2023-10-20-17-31-30_2d.csv
03,06,00,296,18,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_06_00__2023-10-20-17-35-12_2d.csv
03,07,00,342,7,0,5,0,1,1.034980058670044,0,10.33621597290039,0.0,8.590599775314331,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_07_00__2023-10-20-17-37-47_2d.csv
03,08,00,209,4,0,7,0,1,0.0,0,4.750268459320068,0.0,3.38010835647583,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_08_00__2023-10-20-17-43-08_2d.csv
03,09,00,222,11,0,0,0,3,0.0,0,0.0,0.0,71.75087594985962,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_09_00__2023-10-20-17-46-05_2d.csv
03,10,00,272,68,0,13,6,2,0.0,0,1.7060446739196777,0.5017251968383789,22.695794582366943,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_10_00__2023-10-20-17-49-05_2d.csv
04,00,00,64,0,0,0,0,1,0.0,0,0.0,0.0,7.158314228057861,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_00_00__2023-10-21-10-26-47_2d.csv
04,01,00,55,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_01_00__2023-10-21-10-31-04_2d.csv
04,02,00,317,4,0,0,3,1,0.0,0,0.0,4.38203501701355,4.248185873031616,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_02_00__2023-10-21-10-39-44_2d.csv
04,03,00,273,1,0,0,0,1,0.0,0,0.0,0.0,6.656556129455566,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_03_00__2023-10-21-10-43-05_2d.csv
04,04,00,198,3,0,0,0,2,0.0,0,0.0,0.0,11.000458240509033,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_04_00__2023-10-21-10-47-54_2d.csv
04,05,00,210,23,0,2,14,2,15.630497217178345,0,-0.3124513626098633,2.531447649002075,11.640732049942017,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_05_00__2023-10-21-10-51-00_2d.csv
04,06,00,359,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_06_00__2023-10-21-10-54-44_2d.csv
04,07,00,273,0,0,0,6,0,0.0,0,0.0,1.0368549823760986,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_07_00__2023-10-21-10-58-36_2d.csv
04,08,00,253,0,0,9,0,0,0.0,0,4.214806079864502,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_08_00__2023-10-21-11-02-01_2d.csv
04,09,00,219,1,0,0,1,1,0.0,0,0.0,0.0,10.269341945648193,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_09_00__2023-10-21-11-05-04_2d.csv
04,10,01,290,69,0,0,3,1,0.0,0,0.0,6.422429323196411,6.255181312561035,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_10_01__2023-10-21-11-12-04_2d.csv
05,00,00,383,11,0,9,0,1,0.0,0,2.0403928756713867,0.0,3.2781238555908203,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_00_00__2023-10-21-11-29-44_2d.csv
05,01,01,380,12,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_01_01__2023-10-21-11-35-22_2d.csv
05,02,00,285,9,0,6,0,1,0.0,0,5.452424049377441,0.0,4.783390045166016,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_02_00__2023-10-21-11-38-29_2d.csv
05,03,00,303,3,0,1,0,1,0.0,0,0.0,0.0,5.820302724838257,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_03_00__2023-10-21-11-41-27_2d.csv
05,04,00,255,3,0,0,0,1,0.0,0,0.0,0.0,8.340908765792847,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_04_00__2023-10-21-11-45-09_2d.csv
05,05,00,313,2,0,1,0,1,0.0,0,0.0,0.0,6.455903768539429,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_05_00__2023-10-21-11-48-46_2d.csv
05,06,00,469,0,0,0,0,1,0.0,0,0.0,0.0,16.624871015548706,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_06_00__2023-10-21-11-51-40_2d.csv
05,07,00,334,4,0,14,0,2,0.501755952835083,0,5.051044702529907,0.0,20.39888596534729,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_07_00__2023-10-21-11-55-04_2d.csv
05,08,00,439,0,0,1,0,4,0.0,0,0.0,0.0,26.52626371383667,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_08_00__2023-10-21-11-58-34_2d.csv
05,09,00,229,0,0,1,0,1,0.0,0,0.0,0.0,4.8836469650268555,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_09_00__2023-10-21-12-01-51_2d.csv
05,10,00,215,0,0,4,0,5,0.0,0,8.128448009490967,0.0,32.97177863121033,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_10_00__2023-10-21-12-05-09_2d.csv
06,00,00,317,8,0,7,0,2,0.0,0,5.85393214225769,0.0,9.2324960231781,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_00_00__2023-10-21-13-14-24_2d.csv
06,01,00,428,24,0,5,0,0,3.0775907039642334,0,0.5685019493103027,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_01_00__2023-10-21-13-17-14_2d.csv
06,02,00,363,6,0,3,0,1,0.0,0,10.63718557357788,0.0,10.469934940338135,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_02_00__2023-10-21-13-20-39_2d.csv
06,03,00,353,8,0,10,0,0,0.0,0,3.3115599155426025,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_03_00__2023-10-21-13-24-16_2d.csv
06,04,00,291,6,0,2,0,1,1.2041659355163574,0,4.547974586486816,0.0,4.547974586486816,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_04_00__2023-10-21-13-27-10_2d.csv
06,05,00,239,10,0,2,1,0,0.0,0,-0.6309571266174316,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_05_00__2023-10-21-13-31-09_2d.csv
06,06,00,314,0,0,35,0,0,0.0,0,5.135710954666138,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_06_00__2023-10-21-13-34-23_2d.csv
06,07,00,305,5,0,5,0,2,0.6690361499786377,0,5.357186794281006,0.0,8.504993915557861,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_07_00__2023-10-21-13-37-30_2d.csv
06,08,00,226,0,0,10,0,2,0.0,0,6.690181016921997,0.0,8.443634033203125,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_08_00__2023-10-21-13-40-17_2d.csv
06,09,00,313,0,0,5,0,1,0.0,0,1.5386359691619873,0.0,11.9083571434021,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_09_00__2023-10-21-13-42-44_2d.csv
06,10,00,287,4,0,0,0,1,0.0,0,0.0,0.0,15.086158037185669,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_10_00__2023-10-21-13-46-03_2d.csv
07,00,00,425,9,0,2,0,0,0.7026009559631348,0,-0.12483096122741699,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_00_00__2023-10-21-14-08-14_2d.csv
07,01,00,367,18,0,0,0,2,0.0,0,0.0,0.0,7.894212484359741,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_01_00__2023-10-21-14-11-05_2d.csv
07,02,00,15,2,0,0,0,2,0.0,0,0.0,0.0,62.18460273742676,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_02_00__2023-10-21-14-14-24_2d.csv
07,03,00,266,9,0,9,0,1,0.0,0,6.0545549392700195,0.0,5.051047086715698,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_03_00__2023-10-21-14-18-31_2d.csv
07,04,00,242,7,0,0,6,1,0.0,0,0.0,0.6354122161865234,8.563420057296753,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_04_00__2023-10-21-14-21-43_2d.csv
07,05,00,299,20,0,8,0,2,3.1442439556121826,0,4.315072298049927,0.0,13.91544508934021,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_05_00__2023-10-21-14-25-09_2d.csv
07,06,00,347,0,0,2,0,0,0.0,0,0.167219877243042,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_06_00__2023-10-21-14-29-06_2d.csv
07,07,00,286,15,0,0,3,0,0.0,0,0.0,0.100372314453125,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_07_00__2023-10-21-14-31-47_2d.csv
07,08,00,340,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_08_00__2023-10-21-14-34-54_2d.csv
07,09,00,267,9,0,0,0,1,0.0,0,0.0,0.0,15.152965784072876,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_09_00__2023-10-21-14-37-42_2d.csv
07,10,01,354,9,0,13,0,0,0.0,0,1.3079595565795898,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_10_01__2023-10-21-14-42-36_2d.csv
08,00,00,414,32,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\08_00_00__2023-10-21-15-44-58_2d.csv
08,01,00,350,22,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\08_01_00__2023-10-21-15-48-30_2d.csv
08,02,00,338,29,0,1,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\08_02_00__2023-10-21-15-52-23_2d.csv
08,03,00,234,16,0,1,0,2,0.0,0,0.0,0.0,12.510414361953735,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\08_03_00__2023-10-21-15-56-17_2d.csv
08,04,02,271,24,0,1,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\08_04_02__2023-10-21-16-06-05_2d.csv
08,05,00,411,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\08_05_00__2023-10-21-16-09-10_2d.csv
08,06,00,286,0,0,0,0,1,0.0,0,0.0,0.0,6.957685947418213,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\08_06_00__2023-10-21-16-11-57_2d.csv
08,07,00,343,0,0,0,0,2,0.0,0,0.0,0.0,9.723472833633423,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\08_07_00__2023-10-21-16-15-15_2d.csv
08,08,00,228,0,0,0,0,1,0.0,0,0.0,0.0,10.436713933944702,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\08_08_00__2023-10-21-16-19-53_2d.csv
08,09,00,275,0,0,17,0,1,0.0,0,3.632236957550049,0.0,7.936513662338257,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\08_09_00__2023-10-21-16-22-58_2d.csv
08,10,00,422,7,0,10,0,0,0.0,0,2.1059720516204834,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\08_10_00__2023-10-21-16-25-43_2d.csv
09,00,00,412,0,0,0,0,1,0.0,0,0.0,0.0,3.6794252395629883,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\09_00_00__2023-10-21-16-45-50_2d.csv
09,01,00,413,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\09_01_00__2023-10-21-16-49-31_2d.csv
09,02,00,296,13,0,0,12,0,0.0,0,0.0,4.0474958419799805,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\09_02_00__2023-10-21-16-53-19_2d.csv
09,03,00,385,23,0,0,0,1,0.0,0,0.0,0.0,4.348582029342651,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\09_03_00__2023-10-21-16-56-23_2d.csv
09,04,00,268,22,0,0,5,1,3.3116672039031982,0,0.0,6.512672662734985,5.285393953323364,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\09_04_00__2023-10-21-16-59-18_2d.csv
09,05,00,421,23,0,0,0,2,0.0,0,0.0,0.0,23.071317672729492,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\09_05_00__2023-10-21-17-04-33_2d.csv
09,06,00,321,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\09_06_00__2023-10-21-17-07-28_2d.csv
09,07,00,320,1,0,2,5,0,0.0,0,0.8697850704193115,0.5352709293365479,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\09_07_00__2023-10-21-17-10-43_2d.csv
